0.01_False_1000,0.01_False_10000,0.01_False_100000,0.01_True_1000,0.01_True_10000,0.01_True_100000,0.1_False_1000,0.1_False_10000,0.1_False_100000,0.1_True_1000,0.1_True_10000,0.1_True_100000
-613.8007899906085,,,,,,,,,,,
-689.1695968893578,,,,,,,,,,,
-669.0286534176354,,,,,,,,,,,
-702.9235099156222,,,,,,,,,,,
-719.5535543727627,,,,,,,,,,,
-743.0348861105533,,,,,,,,,,,
-785.4621183231575,,,,,,,,,,,
-814.8031493843669,,,,,,,,,,,
-756.8030125381833,,,,,,,,,,,
-767.4168723286078,,,,,,,,,,,
